event_id,event_date,supplier_id,supplier_name,category_id,category_name,signal_type,signal_text,severity,confidence,source_type,source_url,source_title,llm_reason,supplier_summary,recommended_action,severity_score,confidence_score,base_risk_score,risk_bucket
EVT-64DD5A2BA4,2026-03-18,SUP021,ASE Technology,CAT005,Chip Modules,supply_capacity,ASE announced a NT$17.8 billion groundbreaking for a new high-tech facility in Kaohsiung in March 2026 to meet AI chip demand.,Low,High,seed_page,https://www.aseglobal.com,Home | ASE Holdings,"ASE is breaking ground on a new NT$17.8 billion facility in Kaohsiung to meet AI chip demand, signaling positive capacity growth relevant to chip module supply.","ASE Technology presents a generally stable risk posture with active capacity expansion for AI chip demand and strong ESG credentials, though its significant manufacturing footprint in China and Taiwan introduces geopolitical concentration risk.","Monitor construction progress and confirm delivery timelines align with your chip module demand forecasts, particularly for AI-related SKUs.",1,3,3,supply_risk
EVT-78C7F79D8B,2026-03-18,SUP021,ASE Technology,CAT005,Chip Modules,supply_capacity,"ASE operates numerous plants across China (Shanghai, Wuxi, Suzhou, Kunshan, Huizhou) alongside facilities in Taiwan, Malaysia, Vietnam, and other regions.",Medium,High,discovered_link,https://www.aseglobal.com/plants-offices,Plants & Offices | ASE Holdings,"ASE's extensive manufacturing footprint includes multiple facilities in China (Shanghai, Wuxi, Suzhou, Kunshan, Huizhou), creating geopolitical and trade-restriction concentration risk for chip module supply.","ASE Technology presents a generally stable risk posture with active capacity expansion for AI chip demand and strong ESG credentials, though its significant manufacturing footprint in China and Taiwan introduces geopolitical concentration risk.","Assess the share of chip module production sourced from China-based ASE facilities and evaluate contingency sourcing from Taiwan, Malaysia, or Vietnam plants.",2,3,6,supply_risk
EVT-743B676472,2026-03-18,SUP021,ASE Technology,CAT005,Chip Modules,supply_capacity,ASE's press room shows multiple 2025–2026 capacity expansions including advanced packaging facilities and a Vietnam optical transceiver plant expansion.,Low,High,discovered_link,https://www.aseglobal.com/press-room,Press Room | ASE Holdings,"Multiple capacity expansion announcements (K18B groundbreaking, new chip packaging/testing facility, Vietnam plant expansion) indicate ASE is actively scaling to meet next-gen demand, which is positive for chip module availability.","ASE Technology presents a generally stable risk posture with active capacity expansion for AI chip demand and strong ESG credentials, though its significant manufacturing footprint in China and Taiwan introduces geopolitical concentration risk.",Engage ASE account team to understand how new capacity allocations will benefit your chip module orders and secure priority allocation agreements.,1,3,3,supply_risk
EVT-E532E54A86,2026-03-18,SUP021,ASE Technology,CAT005,Chip Modules,esg_compliance,"ASE reports 100% DRC conflict-free products, SBTi-validated 2030/2050 emissions targets, and 19.2% renewable energy consumption as of 2024.",Low,High,discovered_link,https://www.aseglobal.com/csr,ESG | ASE Holdings,"ASE demonstrates strong ESG performance with SBTi-validated emissions targets, 100% DRC conflict-free products, and IFRS sustainability disclosure adoption, reducing compliance risk for chip module procurement.","ASE Technology presents a generally stable risk posture with active capacity expansion for AI chip demand and strong ESG credentials, though its significant manufacturing footprint in China and Taiwan introduces geopolitical concentration risk.",Leverage ASE's ESG documentation to satisfy internal supplier sustainability audits and conflict minerals reporting requirements.,1,3,3,esg_risk
EVT-E96BDC1020,2026-03-18,SUP016,ATI,CAT004,Titanium,supply_capacity,"ATI brought online a new titanium alloy sheet facility in South Carolina, introduced a new 12,500-ton billet press, and extended/expanded titanium supply agreements with both Boeing and Airbus.",Low,High,seed_page,https://www.atimaterials.com,ATI: Proven to perform.,"ATI has expanded titanium production capacity (new Pageland, SC facility, 12,500-ton billet press) and secured long-term agreements with Boeing and Airbus, reducing supply disruption risk for titanium buyers.","ATI presents a low-to-moderate risk profile as a titanium supplier, demonstrating strong financial performance, capacity expansion, and secured long-term agreements with Boeing and Airbus, offset by a CFO transition and ongoing aerospace demand pressures.",Leverage ATI's expanded capacity and long-term agreements to negotiate favorable pricing and volume commitments; monitor delivery performance as aerospace ramp-up increases demand.,1,3,3,supply_risk
EVT-E96BDC1020,2026-03-18,SUP016,ATI,CAT004,Titanium,financial,"ATI reported Q1–Q4 2025 sales ranging from $1.13B to $1.2B with net income of $97M–$119M per quarter, while CFO Don Newman announced retirement and Rob Foster named as successor.",Low,High,seed_page,https://www.atimaterials.com,ATI: Proven to perform.,"ATI reported consistent quarterly revenues around $1.1–1.2 billion with positive net income throughout 2025, indicating financial stability, though a CFO transition introduces minor leadership continuity risk.","ATI presents a low-to-moderate risk profile as a titanium supplier, demonstrating strong financial performance, capacity expansion, and secured long-term agreements with Boeing and Airbus, offset by a CFO transition and ongoing aerospace demand pressures.","Monitor ATI's financial disclosures following the CFO transition effective January 1, 2026, to ensure no change in capital allocation or credit posture affecting supply commitments.",1,3,3,financial_risk
EVT-E96BDC1020,2026-03-18,SUP016,ATI,CAT004,Titanium,general_news,"ATI employees ratified a new six-year labor agreement with the United Steelworkers (USW), providing labor stability across its manufacturing facilities.",Low,High,seed_page,https://www.atimaterials.com,ATI: Proven to perform.,"A ratified six-year labor agreement with the United Steelworkers eliminates near-term strike or labor disruption risk, which is material for a titanium supplier with unionized manufacturing operations.","ATI presents a low-to-moderate risk profile as a titanium supplier, demonstrating strong financial performance, capacity expansion, and secured long-term agreements with Boeing and Airbus, offset by a CFO transition and ongoing aerospace demand pressures.",No immediate action required; note the six-year labor stability window as a positive factor in supplier risk assessments through approximately 2031.,1,3,3,other_risk
EVT-BD554FDB98,2026-03-18,SUP022,Amkor Technology,CAT005,Chip Modules,supply_capacity,"Amkor broke ground on a landmark US semiconductor packaging facility in October 2025, aimed at enabling a resilient domestic supply chain.",Low,High,discovered_link,https://amkor.com/category/company-news/,Company News Archives - Amkor Technology,"Amkor's groundbreaking of a new US semiconductor packaging facility signals capacity expansion and improved domestic supply chain resilience, which is a positive development for Chip Modules sourcing.","Amkor Technology appears operationally stable with positive signals including new US packaging facility groundbreaking, ESG recognition, and customer awards, presenting low near-term supply risk for Chip Modules.",Monitor facility ramp-up timeline and assess opportunity to qualify Amkor's US facility as a preferred or secondary source to reduce geopolitical concentration risk.,1,3,3,supply_risk
EVT-8479565CAC,2026-03-18,SUP022,Amkor Technology,CAT005,Chip Modules,general_news,"Amkor is actively launching new advanced packaging technologies including fcMLF, S-Connect bridge die interposer, and S-SWIFT chiplet integration solutions.",Low,High,seed_page,https://www.amkor.com,Semiconductor Packaging & Test Services | Amkor Technology,"New technology introductions (fcMLF, S-Connect, S-SWIFT) indicate continued R&D investment and product roadmap health, relevant for long-term Chip Modules supply continuity.","Amkor Technology appears operationally stable with positive signals including new US packaging facility groundbreaking, ESG recognition, and customer awards, presenting low near-term supply risk for Chip Modules.",Engage Amkor's technical team to evaluate new packaging technologies for potential integration into future Chip Module designs.,1,3,3,other_risk
EVT-BC26E40D7B,2026-03-18,SUP026,CATL,CAT006,Battery Materials,supply_capacity,"CATL reported 2025 revenue of RMB 423.7 billion (+17% YoY), net profit of RMB 72.2 billion (+42% YoY), and global EV battery market share of 39.2% for the ninth consecutive year.",Low,High,discovered_link,https://www.catl.com/news/9654.html,é¶ç¢³ç§æèå¿ï¼âå ¨åå¢éâé¢èªï¼å®å¾·æ¶ä»£åå¸2025å¹´å¹´åº¦æ¥å,"CATL's 2025 annual report shows 39% YoY growth in battery shipments to 661GWh and 772GWh global production capacity, indicating strong and expanding supply capacity relevant to battery materials procurement.","CATL demonstrates strong financial performance and expanding global partnerships in battery materials, with robust ESG commitments and growing supply capacity, presenting low immediate risk but warranting monitoring for geopolitical and supply chain concentration exposure.",Leverage CATL's capacity expansion in contract negotiations and assess dependency concentration given their 39.2% global market share.,1,3,3,supply_risk
EVT-476CA6B041,2026-03-18,SUP026,CATL,CAT006,Battery Materials,general_news,"CATL and Anglo American signed a cooperation MOU to jointly advance green electrification and circular economy in mining, focusing on battery recycling and key mineral supply chains.",Low,High,discovered_link,https://www.catl.com/news/9657.html,å®å¾·æ¶ä»£ä¸åæéå¢ç­¾ç½²åä½å¤å¿å½ï¼å ±æ¨ç¿ä¸çµæ°åä¸å¾ªç¯ç»æµ,CATL's partnership with Anglo American on battery recycling and circular economy strengthens supply chain resilience for critical minerals relevant to battery materials.,"CATL demonstrates strong financial performance and expanding global partnerships in battery materials, with robust ESG commitments and growing supply capacity, presenting low immediate risk but warranting monitoring for geopolitical and supply chain concentration exposure.",Monitor this partnership for potential improvements in raw material traceability and recycled content availability that could benefit sourcing strategies.,1,3,3,other_risk
EVT-87BA59CD17,2026-03-18,SUP026,CATL,CAT006,Battery Materials,esg_compliance,"CATL and BMW signed a cooperation MOU to advance battery passport cross-border data points, supply chain carbon footprint tracking, and decarbonization across the full supply chain.",Low,High,discovered_link,https://www.catl.com/news/9605.html,å®å¾·æ¶ä»£åºå¸­ä¸­å¾·æ»çåº§è°ä¼ï¼ä¸å®é©¬ç­¾çº¦å ±æ¨çµæ± æ¤ç §è¯ç¹,CATL's partnership with BMW on battery passport and supply chain carbon traceability signals increasing regulatory compliance requirements that may affect procurement terms.,"CATL demonstrates strong financial performance and expanding global partnerships in battery materials, with robust ESG commitments and growing supply capacity, presenting low immediate risk but warranting monitoring for geopolitical and supply chain concentration exposure.",Engage CATL on battery passport data sharing capabilities to ensure alignment with emerging EU battery regulation traceability requirements.,1,3,3,esg_risk
EVT-42DE6903C9,2026-03-18,SUP023,JCET,CAT005,Chip Modules,supply_capacity,"JCET reported record Q3 revenue of RMB 10.06 billion with capacity utilization at near-full levels across wafer-level, power device, and power management chip packaging lines.",Low,High,discovered_link,https://www.jcetglobal.com/en/site/news-detail?id=2037,JCET Group —— News Detail,Record Q3 2025 revenue with near-full utilization across key packaging lines signals strong demand but potential capacity constraints for new or lower-priority customers.,"JCET is in a strong growth phase with record revenues, near-full capacity utilization, and aggressive expansion into advanced packaging, automotive, and silicon photonics, presenting low immediate supply risk but warranting monitoring of capacity allocation and geopolitical exposure.",Confirm your allocation priority with JCET account management and assess lead time trends given near-full utilization rates.,1,3,3,supply_risk
EVT-DEFC037C82,2026-03-18,SUP023,JCET,CAT005,Chip Modules,supply_capacity,"JCET Shanghai Automotive Co., Ltd. officially commenced operations in March 2026, dedicated to high-reliability automotive-grade and robotics chip packaging and testing.",Low,High,discovered_link,https://www.jcetglobal.com/en/site/news-detail?id=2043,JCET Group —— News Detail,Launch of a dedicated automotive and robotics packaging facility (JSAC) in Shanghai Lingang represents a positive capacity expansion but may shift internal resource prioritization toward automotive segments.,"JCET is in a strong growth phase with record revenues, near-full capacity utilization, and aggressive expansion into advanced packaging, automotive, and silicon photonics, presenting low immediate supply risk but warranting monitoring of capacity allocation and geopolitical exposure.",Assess whether JCET's increased focus on automotive and robotics chips could affect capacity availability or lead times for your specific chip module requirements.,1,3,3,supply_risk
EVT-1ED746F4A0,2026-03-18,SUP023,JCET,CAT005,Chip Modules,supply_capacity,"JCET delivered validated silicon photonics engine samples using its XDFOI advanced packaging platform, marking a CPO milestone for high-performance computing applications.",Low,High,discovered_link,https://www.jcetglobal.com/en/site/news-detail?id=2042,JCET Group —— News Detail,"Successful CPO silicon photonics engine sample delivery demonstrates advanced packaging technology leadership, which is relevant for high-performance chip module sourcing decisions.","JCET is in a strong growth phase with record revenues, near-full capacity utilization, and aggressive expansion into advanced packaging, automotive, and silicon photonics, presenting low immediate supply risk but warranting monitoring of capacity allocation and geopolitical exposure.",Evaluate JCET's CPO and heterogeneous integration capabilities as a potential differentiator for next-generation chip module requirements.,1,3,3,supply_risk
EVT-9F0B663583,2026-03-18,SUP023,JCET,CAT005,Chip Modules,financial,"JCET reported Q1 2025 revenue growth of 36.4% and net profit growth of 50.4%, followed by record Q2/H1 and Q3 revenues, with nine-month 2025 revenue up 14.8% year-on-year.",Low,High,discovered_link,https://www.jcetglobal.com/en/site/financial-reports,JCET Group —— Financial Reports,"Consistent revenue growth across Q1–Q3 2025 (Q1 +36.4% revenue, +50.4% net profit; Q3 record revenue) indicates strong financial health and reduced supplier financial risk.","JCET is in a strong growth phase with record revenues, near-full capacity utilization, and aggressive expansion into advanced packaging, automotive, and silicon photonics, presenting low immediate supply risk but warranting monitoring of capacity allocation and geopolitical exposure.",No immediate action required; continue periodic financial health monitoring given JCET's China-listed status and exposure to geopolitical trade risks.,1,3,3,financial_risk
EVT-58937F24CD,2026-03-18,SUP027,LG Energy Solution,CAT006,Battery Materials,financial,LGES holds domestic AA (stable) ratings from three Korean agencies but carries a Baa1 Negative outlook from Moody's and BBB Stable from S&P as of 2025.,Medium,High,discovered_link,https://www.lgensol.com/kr/investors/ir-financial,재무상태표｜LG에너지솔루션,"Moody's has assigned a 'Negative' outlook on LGES's Baa1 rating, signaling potential downgrade risk that could affect the supplier's financial stability and investment capacity in battery materials.","LG Energy Solution presents a stable operational profile with investment-grade credit ratings (AA domestic, Baa1/BBB international) and structured ESG governance, though Moody's negative outlook and a board-approved North American JV investment plan change warrant monitoring for financial and supply capacity risks.",Monitor Moody's rating actions and LGES quarterly earnings reports; assess impact on supplier's ability to fund capacity commitments.,2,3,6,financial_risk
EVT-3F9DD14E4E,2026-03-18,SUP027,LG Energy Solution,CAT006,Battery Materials,supply_capacity,Board minutes (Q1-Q3 2025) show approval of GM JV 3rd plant acquisition payment guarantee and a subsequent investment plan change reported in Q2 2025.,Medium,High,discovered_link,https://www.lgensol.com/kr/esg/structure-council,이사회 구성 및 활동｜LG에너지솔루션,"The board approved a change to the North American MI JV plant 3 (UC) investment plan and a related payment guarantee, indicating potential restructuring of North American battery production capacity that could affect supply commitments.","LG Energy Solution presents a stable operational profile with investment-grade credit ratings (AA domestic, Baa1/BBB international) and structured ESG governance, though Moody's negative outlook and a board-approved North American JV investment plan change warrant monitoring for financial and supply capacity risks.",Clarify with LGES account manager the revised scope and timeline of the North American JV capacity plan and confirm any impact on contracted volumes.,2,3,6,supply_risk
EVT-86B6D0633B,2026-03-18,SUP027,LG Energy Solution,CAT006,Battery Materials,esg_compliance,"LGES conducts annual supplier ESG assessments across 60+ criteria, manages conflict minerals via CMRT, and publishes an annual Sustainable Supply Chain Management Report.",Low,High,discovered_link,https://www.lgensol.com/kr/esg/society-esg-management,밸류체인 ESG 경영｜LG에너지솔루션,"LGES operates a structured supply chain ESG risk management program including conflict minerals reporting, RBA VAP audits, and supplier code of conduct, which is relevant for battery materials sourcing compliance requirements.","LG Energy Solution presents a stable operational profile with investment-grade credit ratings (AA domestic, Baa1/BBB international) and structured ESG governance, though Moody's negative outlook and a board-approved North American JV investment plan change warrant monitoring for financial and supply capacity risks.",Leverage LGES's published supply chain ESG reports and conflict minerals disclosures to satisfy downstream due diligence obligations.,1,3,3,esg_risk
EVT-5CDA8AD3CC,2026-03-18,SUP001,Largan Precision,CAT001,Camera Lens,financial,"Largan has paid substantial and growing cash dividends annually since 2003, with 2024 dividend at NT$97.50/share and 2025 at NT$80/share.",Low,High,discovered_link,https://www.largan.com.tw/tw/investor/shareholder,股東資訊 | 投資人關係,"Consistent and growing cash dividends (NT$80/share in 2025, NT$97.50 in 2024) indicate strong profitability and financial health, reducing financial risk for the supply relationship.","Largan Precision (大立光) is a financially stable, publicly listed global leader in mobile camera lenses with strong governance, active ESG programs, and consistent dividend payouts, presenting low immediate supply risk.",Monitor quarterly revenue reports for any signs of revenue decline that could signal demand softening or margin pressure.,1,3,3,financial_risk
EVT-54A2310D74,2026-03-18,SUP001,Largan Precision,CAT001,Camera Lens,supply_capacity,"Largan has 12 Taiwan-based factories and one China facility, positioning it as the world's largest mobile lens manufacturer with diversifying product lines.",Low,High,discovered_link,https://www.largan.com.tw/tw/investor/stakeholder,利害關係人 | 投資人關係,"Largan operates 12 factories in Taiwan and one in China, with active expansion into automotive and surveillance lens segments, indicating broad capacity but also geographic concentration risk in Taiwan.","Largan Precision (大立光) is a financially stable, publicly listed global leader in mobile camera lenses with strong governance, active ESG programs, and consistent dividend payouts, presenting low immediate supply risk.",Assess exposure to Taiwan-specific geopolitical or natural disaster risks given the heavy concentration of manufacturing capacity on the island.,1,3,3,supply_risk
EVT-238E060A91,2026-03-18,SUP001,Largan Precision,CAT001,Camera Lens,esg_compliance,"Largan holds valid ISO 14001, 45001, 9001, and IATF 16949 certifications through 2027 and publishes annual ESG sustainability reports.",Low,High,discovered_link,https://www.largan.com.tw/tw/esg,ESG企業永續,"Largan maintains active ESG certifications (ISO 14001, ISO 45001, ISO 9001, IATF 16949) and publishes annual sustainability reports, indicating low ESG compliance risk.","Largan Precision (大立光) is a financially stable, publicly listed global leader in mobile camera lenses with strong governance, active ESG programs, and consistent dividend payouts, presenting low immediate supply risk.",Leverage Largan's supplier ESG requirements and published sustainability reports during supplier audits to confirm alignment with your own ESG procurement standards.,1,3,3,esg_risk
EVT-0F4DFA8E61,2026-03-18,SUP020,OSAKA Titanium Technologies,CAT004,Titanium,supply_capacity,"The supplier's IR news (March 2026) references a change in investment amount related to sponge titanium production capacity enhancement, alongside a partnership construction announcement and board member changes.",Medium,High,seed_page,https://www.osaka-ti.co.jp,æ ªå¼ä¼ç¤¾å¤§éªãã¿ãã¦ã ãã¯ãã­ã¸ã¼ãº,"The supplier has announced a revision to investment amounts related to sponge titanium production capacity expansion, which directly affects titanium supply availability and pricing for buyers.","OSAKA Titanium Technologies shows active corporate activity including a sponge titanium production capacity investment revision and partnership announcements, indicating strategic expansion with associated execution risk.","Engage OSAKA Titanium Technologies to clarify the revised investment scope, timeline, and any potential impact on contracted supply volumes or lead times.",2,3,6,supply_risk
EVT-A147A408F8,2026-03-18,SUP024,Powertech Technology,CAT005,Chip Modules,supply_capacity,"PTI's homepage confirms it is a global leading provider of chip probing, packaging, and testing across multiple memory and logic device categories relevant to chip modules.",Low,High,seed_page,https://www.pti.com.tw,Home - Powertech Technology Inc.,"PTI's broad service portfolio covering DRAM, NAND, NOR Flash, Logic, WLP, Flip Chip, and SiP confirms it is a critical turnkey OSAT supplier for chip modules, making any future disruption high-impact.","Powertech Technology Inc. (PTI) is a major OSAT provider offering chip packaging, probing, and testing services with an established governance and risk management framework, but the available public-source items contain no material risk signals beyond general corporate information.",Maintain awareness of PTI's capacity utilization and monitor for any production disruption announcements given its central role in chip module supply chains.,1,3,3,supply_risk
EVT-6789F2F4AE,2026-03-18,SUP024,Powertech Technology,CAT005,Chip Modules,esg_compliance,"PTI established a Risk Management Committee in 2021, renamed in 2025, covering operational, hazard, information security, financial, and legal risks with annual board reporting.",Low,High,discovered_link,https://www.pti.com.tw/en/ir/corporate/sustainability-development-and-risk-managemen,Sustainability Development and Risk Management Committee - Powertech Technology Inc.,"PTI's formalized Sustainability Development and Risk Management Committee with board-level reporting indicates proactive governance, reducing ESG and operational risk exposure for buyers.","Powertech Technology Inc. (PTI) is a major OSAT provider offering chip packaging, probing, and testing services with an established governance and risk management framework, but the available public-source items contain no material risk signals beyond general corporate information.","Request PTI's latest risk management report to validate coverage of supply chain, information security, and climate-related risks relevant to chip module procurement.",1,3,3,esg_risk
EVT-A0CE807B70,2026-03-18,SUP029,Samsung SDI,CAT006,Battery Materials,financial,"CEO Choi outlined H2 turnaround goals at the March 2026 AGM, implying current financial headwinds, while a KRW 1.5 trillion ESS battery supply deal signals continued commercial activity.",Medium,High,seed_page,https://www.samsungsdi.com,Samsung Li-Ion Battery & Renewable Energy | Samsung SDI Official Site,"CEO's explicit reference to 'second-half turnaround goals' signals current financial underperformance, which could affect investment in capacity and supply reliability for battery materials.","Samsung SDI presents a stable but monitored risk posture, with active ESG governance and recent positive supply deal news, though financial performance concerns flagged in CEO's H2 turnaround commentary warrant attention.",Review Samsung SDI's Q4 2025 and Q1 2026 earnings releases to assess financial health and any impact on production capacity or R&D commitments.,2,3,6,financial_risk
EVT-A0CE807B70,2026-03-18,SUP029,Samsung SDI,CAT006,Battery Materials,supply_capacity,"Samsung SDI secured a major U.S. ESS supply deal and unveiled next-generation all-solid-state batteries at InterBattery 2026, indicating strong forward capacity engagement.",Low,High,seed_page,https://www.samsungsdi.com,Samsung Li-Ion Battery & Renewable Energy | Samsung SDI Official Site,"The KRW 1.5 trillion ESS prismatic battery supply deal and all-solid-state battery unveiling indicate active capacity deployment and technology advancement, which is positive for supply continuity.","Samsung SDI presents a stable but monitored risk posture, with active ESG governance and recent positive supply deal news, though financial performance concerns flagged in CEO's H2 turnaround commentary warrant attention.","Monitor allocation priorities between ESS, automotive, and other battery segments to ensure supply commitments to your category are not crowded out.",1,3,3,supply_risk
EVT-C51731EBC2,2026-03-18,SUP029,Samsung SDI,CAT006,Battery Materials,esg_compliance,Supply Chain Sustainability Management and Climate Change Response are rated as highest-priority material topics under Samsung SDI's GRI/CSRD-aligned double materiality assessment.,Low,High,discovered_link,https://www.samsungsdi.com/esg/sustainability/important-issue.html,Double Materiality Assessment,"Samsung SDI's double materiality assessment identifies supply chain sustainability and climate change as very high impact areas, indicating proactive ESG risk management relevant to battery materials sourcing.","Samsung SDI presents a stable but monitored risk posture, with active ESG governance and recent positive supply deal news, though financial performance concerns flagged in CEO's H2 turnaround commentary warrant attention.",Leverage Samsung SDI's published ESG materiality data to align supplier ESG requirements and validate their supply chain due diligence practices.,1,3,3,esg_risk
EVT-0960E195E8,2026-03-18,SUP029,Samsung SDI,CAT006,Battery Materials,esg_compliance,Samsung SDI's risk management framework includes a four-step purchasing risk management process and explicit supply chain environmental and social risk controls.,Low,High,discovered_link,https://www.samsungsdi.com/esg/sustainability/risk-management.html,Risk Management,"Samsung SDI has a structured supply chain risk management process and responsible minerals sourcing policy, reducing ESG compliance risk for battery materials procurement.","Samsung SDI presents a stable but monitored risk posture, with active ESG governance and recent positive supply deal news, though financial performance concerns flagged in CEO's H2 turnaround commentary warrant attention.",Request Samsung SDI's latest supply chain risk assessment results and responsible minerals sourcing audit reports to validate compliance with your own ESG standards.,1,3,3,esg_risk
EVT-C7BB2A3833,2026-03-18,SUP017,Timet,CAT004,Titanium,supply_capacity,"TIMET operates eight mills and five service centers globally and is the only fully integrated titanium supplier in the US, supplying nearly one-fifth of the world's titanium.",Low,High,seed_page,https://www.timet.com,Timet | TIMET Home,"TIMET's position as the only fully integrated US titanium supplier with global mills and service centers is strategically significant for supply chain resilience, but also represents a concentration risk if operations are disrupted.","TIMET is a vertically integrated, globally established titanium supplier with strong capabilities and no current adverse risk signals identified from available public sources.",Monitor TIMET's operational continuity given its critical role as a sole fully integrated US titanium supplier; maintain contingency sourcing options.,1,3,3,supply_risk
EVT-1D2CA1BD25,2026-03-18,SUP025,Tongfu Microelectronics,CAT005,Chip Modules,financial,Investor relations page shows a February 2026 filing for a targeted A-share issuance with full prospectus and legal opinion submitted to SZSE for review.,Medium,High,discovered_link,https://www.tfme.com/news/7/,投资者关系_通富微电子股份有限公司,"Tongfu is pursuing a targeted new share issuance (向特定对象发行A股) filed with Shenzhen Stock Exchange in February 2026, indicating the company is raising capital, which may signal funding needs for expansion but also introduces dilution and financial structure changes.","Tongfu Microelectronics is an active and expanding IC packaging and testing supplier with new capacity projects underway and a planned equity issuance, indicating growth momentum but also potential financial leverage risk.","Review the fundraising prospectus to assess use of proceeds, debt levels, and whether capital raise is driven by liquidity pressure or strategic expansion.",2,3,6,financial_risk
EVT-3681DA2246,2026-03-18,SUP025,Tongfu Microelectronics,CAT005,Chip Modules,supply_capacity,Company news confirms groundbreaking of a new advanced packaging and testing base and first equipment installation for Memory Phase 2 project in September 2024.,Low,High,discovered_link,https://www.tfme.com/news/1/,公司动态_通富微电子股份有限公司,"New advanced packaging base groundbreaking and Memory Phase 2 equipment installation in September 2024 signal capacity expansion, which is positive for chip module supply but may introduce ramp-up execution risk.","Tongfu Microelectronics is an active and expanding IC packaging and testing supplier with new capacity projects underway and a planned equity issuance, indicating growth momentum but also potential financial leverage risk.",Monitor ramp-up timelines for the new Tongtongda advanced packaging base and Memory Phase 2 project to ensure delivery commitments are not disrupted during transition.,1,3,3,supply_risk
EVT-AAF8610AA0,2026-03-18,SUP018,VSMPO-AVISMA,CAT004,Titanium,supply_capacity,"VSMPO-AVISMA's homepage confirms it holds ~25% of global titanium rolled product market with 20,000+ tonnes/year output across aviation, space, shipbuilding, and other sectors.",Low,High,seed_page,https://www.vsmpo.ru,Корпорация ВСМПО-АВИСМА,"Supplier confirms continued operations, 20,000+ tonnes annual output, and broad product range, indicating no immediate capacity disruption visible from public-facing content.","VSMPO-AVISMA remains the world's largest titanium producer (~25% of global rolled titanium) and is operationally active, but its Russian domicile and deep integration into Western aerospace supply chains create persistent, high geopolitical and sanctions-related supply risk not directly evidenced in these items.",Monitor for any changes in production volumes or export restrictions that could affect titanium supply continuity.,1,3,3,supply_risk
EVT-691FC2C178,2026-03-18,SUP018,VSMPO-AVISMA,CAT004,Titanium,esg_compliance,"Investor page confirms VSMPO-AVISMA is deeply integrated into global aerospace as a primary strategic supplier across 50+ countries with 450+ foreign partners, amplifying sanctions and compliance exposure.",High,High,discovered_link,https://www.vsmpo.ru/investors/,Инвесторам,"As a Russian state-linked entity supplying 50+ countries, VSMPO-AVISMA faces ongoing sanctions exposure and compliance risk for Western buyers following Russia's invasion of Ukraine.","VSMPO-AVISMA remains the world's largest titanium producer (~25% of global rolled titanium) and is operationally active, but its Russian domicile and deep integration into Western aerospace supply chains create persistent, high geopolitical and sanctions-related supply risk not directly evidenced in these items.",Conduct immediate sanctions compliance review and accelerate qualification of alternative titanium suppliers to reduce single-source dependency.,3,3,9,esg_risk
EVT-81F24686A4,2026-03-18,SUP018,VSMPO-AVISMA,CAT004,Titanium,general_news,"Corporate documents page lists a new EGRUL entry dated 02.03.2026 referencing a new General Director, indicating a recent leadership change at the corporation.",Low,High,discovered_link,https://www.vsmpo.ru/investors/dokumenty-i-tsennye-bumagi/korporativnye-dokumenty/,Корпоративные документы,A recent EGRUL registry update (02.03.2026) and new General Director filing suggest a recent leadership or structural change that warrants monitoring for continuity of supply agreements.,"VSMPO-AVISMA remains the world's largest titanium producer (~25% of global rolled titanium) and is operationally active, but its Russian domicile and deep integration into Western aerospace supply chains create persistent, high geopolitical and sanctions-related supply risk not directly evidenced in these items.",Verify the nature of the new General Director appointment and assess any potential impact on existing supply contracts or export authorizations.,1,3,3,other_risk
